time	Control	Speed_rpm	
1692.0900000000001	2900	2776	
1692.1000000000001	2900	2776	
1692.1100000000001	2900	2776	
1692.1200000000001	2900	2776	
1692.13	2900	2776	
1692.14	2900	2776	
1692.15	2900	2776	
1692.16	2900	2764	
1692.17	2900	2764	
1692.18	2900	2764	
1692.19	2900	2764	
1692.2	2900	2764	
1692.21	2900	2764	
1692.22	2900	2764	
1692.23	2900	2764	
1692.24	2900	2764	
1692.25	2900	2764	
1692.26	2900	2764	
1692.27	2900	2781	
1692.28	2900	2781	
1692.29	2900	2781	
1692.3	2900	2781	
1692.31	2900	2764	
1692.32	2900	2764	
1692.33	2900	2764	
1692.3400000000001	2900	2764	
1692.3500000000001	2900	2764	
1692.3600000000001	2900	2764	
1692.3700000000001	2900	2781	
1692.38	2900	2781	
1692.39	2900	2781	
1692.4	2900	2781	
1692.41	2900	2781	
1692.42	2900	2781	
1692.43	2900	2781	
1692.44	2900	2781	
1692.45	2900	2781	
1692.46	2900	2776	
1692.47	2900	2776	
1692.48	1000	2776	
1692.49	1000	2776	
1692.5	1000	2776	
1692.51	1000	2776	
1692.52	1000	2781	
1692.53	1000	2781	
1692.54	1000	2781	
1692.55	1000	2781	
1692.56	1000	2781	
1692.57	1000	2793	
1692.58	1000	2793	
1692.5900000000001	1000	2793	
1692.6000000000001	1000	2793	
1692.6100000000001	1000	2793	
1692.6200000000001	1000	2781	
1692.63	1000	2781	
1692.64	1000	2781	
1692.65	1000	2781	
1692.66	1000	2799	
1692.67	1000	2799	
1692.68	1000	2799	
1692.69	1000	2799	
1692.7	1000	2799	
1692.71	1000	2781	
1692.72	1000	2781	
1692.73	1000	2781	
1692.74	1000	2781	
1692.75	1000	2781	
1692.76	1000	2764	
1692.77	1000	2764	
1692.78	1000	2764	
1692.79	1000	2764	
1692.8	1000	2764	
1692.81	1000	2764	
1692.82	1000	2718	
1692.83	1000	2718	
1692.8400000000001	1000	2718	
1692.8500000000001	1000	2718	
1692.8600000000001	1000	2718	
1692.8700000000001	1000	2718	
1692.88	1000	2718	
1692.89	1000	2718	
1692.9	1000	2718	
1692.91	1000	2718	
1692.92	1000	2718	
1692.93	1000	2718	
1692.94	1000	2718	
1692.95	1000	2718	
1692.96	1000	2718	
1692.97	1000	2674	
1692.98	1000	2674	
1692.99	1000	2674	
1693	1000	2674	
1693.01	1000	2674	
1693.02	1000	2663	
1693.03	1000	2663	
1693.04	1000	2663	
1693.05	1000	2663	
1693.06	1000	2631	
1693.07	1000	2631	
1693.08	1000	2631	
1693.0900000000001	1000	2631	
