time	Control	Speed_rpm	
1732.28	1000	2752	
1732.29	1000	2752	
1732.3	1000	2752	
1732.31	1000	2735	
1732.32	1000	2735	
1732.33	1000	2735	
1732.3400000000001	1000	2735	
1732.3500000000001	1000	2735	
1732.3600000000001	1000	2735	
1732.3700000000001	1000	2724	
1732.38	1000	2724	
1732.39	1000	2724	
1732.4	1000	2724	
1732.41	1000	2724	
1732.42	1000	2674	
1732.43	1000	2674	
1732.44	1000	2674	
1732.45	1000	2674	
1732.46	1000	2674	
1732.47	1000	2690	
1732.48	1000	2690	
1732.49	1000	2690	
1732.5	1000	2690	
1732.51	1000	2663	
1732.52	1000	2663	
1732.53	1000	2663	
1732.54	1000	2663	
1732.55	1000	2663	
1732.56	1000	2647	
1732.57	1000	2647	
1732.58	1000	2647	
1732.5900000000001	1000	2647	
1732.6000000000001	1000	2647	
1732.6100000000001	1000	2604	
1732.6200000000001	1000	2604	
1732.63	1000	2604	
1732.64	1000	2604	
1732.65	1000	2604	
1732.66	1000	2594	
1732.67	1000	2594	
1732.68	1000	2594	
1732.69	1000	2594	
1732.7	1000	2594	
1732.71	1000	2529	
1732.72	1000	2529	
1732.73	1000	2529	
1732.74	1000	2529	
1732.75	1000	2529	
1732.76	1000	2529	
1732.77	1000	2514	
1732.78	1000	2514	
1732.79	1000	2514	
1732.8	1000	2514	
1732.81	1000	2476	
1732.82	1000	2476	
1732.83	1000	2476	
1732.8400000000001	1000	2476	
1732.8500000000001	1000	2476	
1732.8600000000001	1000	2440	
1732.8700000000001	1000	2440	
1732.88	1000	2440	
1732.89	1000	2440	
1732.9	1000	2440	
1732.91	1000	2440	
1732.92	1000	2404	
1732.93	1000	2404	
1732.94	1000	2404	
1732.95	1000	2404	
1732.96	1000	2404	
1732.97	1000	2369	
1732.98	1000	2369	
1732.99	1000	2369	
1733	1000	2369	
1733.01	1000	2314	
1733.02	1000	2314	
1733.03	1000	2314	
1733.04	1000	2314	
1733.05	1000	2314	
1733.06	1000	2314	
1733.07	1000	2282	
1733.08	1000	2282	
1733.0900000000001	1000	2282	
1733.1000000000001	1000	2282	
1733.1100000000001	1000	2232	
1733.1200000000001	1000	2232	
1733.13	1000	2232	
1733.14	1000	2232	
1733.15	1000	2232	
1733.16	1000	2213	
1733.17	1000	2213	
1733.18	1000	2213	
1733.19	1000	2213	
1733.2	1000	2213	
1733.21	1000	2162	
1733.22	1000	2162	
1733.23	1000	2162	
1733.24	1000	2162	
1733.25	1000	2162	
1733.26	1000	2109	
1733.27	1000	2109	
1733.28	1000	2109	
1733.29	1000	2109	
1733.3	1000	2109	
1733.31	1000	2083	
1733.32	1000	2083	
1733.33	1000	2083	
1733.3400000000001	1000	2083	
1733.3500000000001	1000	2083	
1733.3600000000001	1000	2022	
1733.3700000000001	1000	2022	
1733.38	1000	2022	
1733.39	1000	2022	
1733.4	1000	2022	
1733.41	1000	2022	
1733.42	1000	1997	
1733.43	1000	1997	
1733.44	1000	1997	
1733.45	1000	1997	
1733.46	1000	1997	
1733.47	1000	1944	
1733.48	1000	1944	
1733.49	1000	1944	
1733.5	1000	1944	
1733.51	1000	1907	
1733.52	1000	1907	
1733.53	1000	1907	
1733.54	1000	1907	
1733.55	1000	1907	
1733.56	1000	1907	
1733.57	1000	1850	
1733.58	1000	1850	
1733.5900000000001	1000	1850	
1733.6000000000001	1000	1850	
1733.6100000000001	1000	1794	
1733.6200000000001	1000	1794	
1733.63	1000	1794	
1733.64	1000	1794	
1733.65	1000	1794	
1733.66	1000	1751	
1733.67	1000	1751	
1733.68	1000	1751	
1733.69	1000	1751	
1733.7	1000	1751	
1733.71	1000	1692	
1733.72	1000	1692	
1733.73	1000	1692	
1733.74	1000	1692	
1733.75	1000	1692	
1733.76	1000	1648	
1733.77	1000	1648	
1733.78	1000	1648	
1733.79	1000	1648	
1733.8	1000	1648	
1733.81	1000	1599	
1733.82	1000	1599	
1733.83	1000	1599	
1733.8400000000001	1000	1599	
1733.8500000000001	1000	1599	
1733.8600000000001	1000	1599	
1733.8700000000001	1000	1545	
1733.88	1000	1545	
1733.89	1000	1545	
1733.9	1000	1545	
1733.91	1000	1545	
1733.92	1000	1490	
1733.93	1000	1490	
1733.94	1000	1490	
1733.95	1000	1490	
1733.96	1000	1455	
1733.97	1000	1455	
1733.98	1000	1455	
1733.99	1000	1455	
1734	1000	1455	
1734.01	1000	1410	
1734.02	1000	1410	
1734.03	1000	1410	
1734.04	1000	1410	
1734.05	1000	1410	
1734.06	1000	1382	
1734.07	1000	1382	
1734.08	1000	1382	
1734.0900000000001	1000	1382	
1734.1000000000001	1000	1382	
1734.1100000000001	1000	1382	
1734.1200000000001	1000	1342	
1734.13	1000	1342	
1734.14	1000	1342	
1734.15	1000	1342	
1734.16	1000	1306	
1734.17	1000	1306	
1734.18	1000	1306	
1734.19	1000	1306	
1734.2	1000	1306	
1734.21	1000	1306	
1734.22	1000	1285	
1734.23	1000	1285	
1734.24	1000	1285	
1734.25	1000	1285	
1734.26	1000	1285	
1734.27	1000	1253	
1734.28	1000	1253	
1734.29	1000	1253	
1734.3	1000	1253	
1734.31	1000	1220	
1734.32	1000	1220	
1734.33	1000	1220	
1734.3400000000001	1000	1220	
1734.3500000000001	1000	1220	
1734.3600000000001	1000	1199	
1734.3700000000001	1000	1199	
1734.38	1000	1199	
1734.39	1000	1199	
1734.4	1000	1199	
1734.41	1000	1199	
1734.42	1000	1174	
1734.43	1000	1174	
1734.44	1000	1174	
1734.45	1000	1174	
1734.46	1000	1159	
1734.47	1000	1159	
1734.48	1000	1159	
1734.49	1000	1159	
1734.5	1000	1159	
1734.51	1000	1152	
1734.52	1000	1152	
1734.53	1000	1152	
1734.54	1000	1152	
1734.55	1000	1152	
1734.56	1000	1152	
1734.57	1000	1120	
1734.58	1000	1120	
1734.5900000000001	1000	1120	
1734.6000000000001	1000	1120	
1734.6100000000001	1000	1116	
1734.6200000000001	1000	1116	
1734.63	1000	1116	
1734.64	1000	1116	
1734.65	1000	1116	
1734.66	1000	1093	
1734.67	1000	1093	
1734.68	1000	1093	
1734.69	1000	1093	
1734.7	1000	1093	
1734.71	1000	1084	
1734.72	1000	1084	
1734.73	1000	1084	
1734.74	1000	1084	
1734.75	1000	1084	
1734.76	1000	1073	
1734.77	1000	1073	
1734.78	1000	1073	
1734.79	1000	1073	
1734.8	1000	1073	
1734.81	1000	1061	
1734.82	2900	1061	
1734.83	2900	1061	
1734.8400000000001	2900	1061	
1734.8500000000001	2900	1061	
1734.8600000000001	2900	1061	
1734.8700000000001	2900	1045	
1734.88	2900	1045	
1734.89	2900	1045	
1734.9	2900	1045	
1734.91	2900	1045	
1734.92	2900	1044	
1734.93	2900	1044	
1734.94	2900	1044	
1734.95	2900	1044	
1734.96	2900	1030	
1734.97	2900	1030	
1734.98	2900	1030	
1734.99	2900	1030	
1735	2900	1030	
1735.01	2900	1030	
